ticker,name,type,image_url,,,,,,,,,
O,Realty Income Corporation,stock,,,,,,,,,,
WELL,Welltower Inc,stock,,,,,,,,,,
ILMN,Illumina Inc.,stock,,,,,,,,,,
A,Agilent Technologies Inc.,stock,,,,,,,,,,
HPQ,HP Inc.,stock,,,,,,,,,,
PAYX,Paychex Inc.,stock,,,,,,,,,,
PRU,Prudential Financial Inc.,stock,,,,,,,,,,
DLR,Digital Realty Trust Inc.,stock,,,,,,,,,,
CTSH,Cognizant Technology Solutions Corporation Class A,stock,,,,,,,,,,
EA,Electronic Arts Inc.,stock,,,,,,,,,,
KMI,Kinder Morgan Inc Class P,stock,,,,,,,,,,
MCHP,Microchip Technology Incorporated,stock,,,,,,,,,,
AZO,AutoZone Inc.,stock,,,,,,,,,,
BAX,Baxter International Inc.,stock,,,,,,,,,,
HLT,Hilton Worldwide Holdings Inc,stock,,,,,,,,,,
CMG,Chipotle Mexican Grill Inc.,stock,,,,,,,,,,
JCI,Johnson Controls International plc,stock,,,,,,,,,,
SBAC,SBA Communications Corp. Class A,stock,,,,,,,,,,
SPG,Simon Property Group Inc.,stock,,,,,,,,,,
MSI,Motorola Solutions Inc.,stock,,,,,,,,,,
GPN,Global Payments Inc.,stock,,,,,,,,,,
ALL,Allstate Corporation,stock,,,,,,,,,,
PEG,Public Service Enterprise Group Inc,stock,,,,,,,,,,
MSCI,MSCI Inc. Class A,stock,,,,,,,,,,
ED,Consolidated Edison Inc.,stock,,,,,,,,,,
PH,Parker-Hannifin Corporation,stock,,,,,,,,,,
AFL,Aflac Incorporated,stock,,,,,,,,,,
HAL,Halliburton Company,stock,,,,,,,,,,
MNST,Monster Beverage Corporation,stock,,,,,,,,,,
DD,DuPont de Nemours Inc.,stock,,,,,,,,,,
IFF,International Flavors & Fragrances Inc.,stock,,,,,,,,,,
NUE,Nucor Corporation,stock,,,,,,,,,,
KR,Kroger Co.,stock,,,,,,,,,,
WEC,WEC Energy Group Inc,stock,,,,,,,,,,
CARR,Carrier Global Corp.,stock,,,,,,,,,,
BK,Bank of New York Mellon Corp,stock,,,,,,,,,,
