ticker,name,type,image_url,,,,,,,,,
NWSA,News Corporation Class A,stock,,,,,,,,,,
WYNN,Wynn Resorts Limited,stock,,,,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd.,stock,,,,,,,,,,
IVZ,Invesco Ltd.,stock,,,,,,,,,,
DVA,DaVita Inc.,stock,,,,,,,,,,
ALK,Alaska Air Group Inc.,stock,,,,,,,,,,
VNO,Vornado Realty Trust,stock,,,,,,,,,,
PENN,Penn National Gaming Inc.,stock,,,,,,,,,,
DISH,DISH Network Corporation Class A,stock,,,,,,,,,,
PVH,PVH Corp.,stock,,,,,,,,,,
FOX,Fox Corporation Class B,stock,,,,,,,,,,
RL,Ralph Lauren Corporation Class A,stock,,,,,,,,,,
IPGP,IPG Photonics Corporation,stock,,,,,,,,,,
NWS,News Corporation Class B,stock,,,,,,,,,,
UAA,Under Armour Inc. Class A,stock,,,,,,,,,,
UA,Under Armour Inc. Class C,stock,,,,,,,,,,
EMBC,Embecta Corporation,stock,,,,,,,,,,
BTC,Bitcoin,crypto,,,,,,,,,,
ETH,Ethereum,crypto,,,,,,,,,,
USDT,Tether,crypto,,,,,,,,,,
USDC,USD Coin,crypto,,,,,,,,,,
BNB,BNB,crypto,,,,,,,,,,
XRP,XRP,crypto,,,,,,,,,,
BUSD,Binance USD,crypto,,,,,,,,,,
ADA,Cardano,crypto,,,,,,,,,,
SOL,Solana,crypto,,,,,,,,,,
DOGE,Dogecoin,crypto,,,,,,,,,,
DOT,Polkadot,crypto,,,,,,,,,,
AVAX,Avalanche,crypto,,,,,,,,,,
WBTC,Wrapped Bitcoin,crypto,,,,,,,,,,
TRX,TRON,crypto,,,,,,,,,,
DAI,Dai,crypto,,,,,,,,,,
SHIB,SHIBA INU,crypto,,,,,,,,,,
MATIC,Polygon,crypto,,,,,,,,,,
LTC,Litecoin,crypto,,,,,,,,,,
CRO,Cronos,crypto,,,,,,,,,,
LEO,UNUS SED LEO,crypto,,,,,,,,,,
NEAR,NEAR Protocol,crypto,,,,,,,,,,
FTT,FTX Token,crypto,,,,,,,,,,
UNI,Uniswap,crypto,,,,,,,,,,
BCH,Bitcoin Cash,crypto,,,,,,,,,,
XMR,Monero,crypto,,,,,,,,,,
LINK,Chainlink,crypto,,,,,,,,,,
ATOM,Cosmos,crypto,,,,,,,,,,
XLM,Stellar,crypto,,,,,,,,,,
BTCB,Bitcoin BEP2,crypto,,,,,,,,,,
ETC,Ethereum Classic,crypto,,,,,,,,,,
FLOW,Flow,crypto,,,,,,,,,,
ALGO,Algorand,crypto,,,,,,,,,,
APE,ApeCoin,crypto,,,,,,,,,,
HBAR,Hedera,crypto,,,,,,,,,,
VET,VeChain,crypto,,,,,,,,,,
EGLD,Elrond,crypto,,,,,,,,,,
MANA,Decentraland,crypto,,,,,,,,,,
ICP,Internet Computer,crypto,,,,,,,,,,
FIL,Filecoin,crypto,,,,,,,,,,
XTZ,Tezos,crypto,,,,,,,,,,
SAND,The Sandbox,crypto,,,,,,,,,,
KCS,KuCoin Token,crypto,,,,,,,,,,
ZEC,Zcash,crypto,,,,,,,,,,
AAVE,Aave,crypto,,,,,,,,,,
KLAY,Klaytn,crypto,,,,,,,,,,
AXS,Axie Infinity,crypto,,,,,,,,,,
EOS,EOS,crypto,,,,,,,,,,
MKR,Maker,crypto,,,,,,,,,,
THETA,Theta Network,crypto,,,,,,,,,,
TUSD,TrueUSD,crypto,,,,,,,,,,
FTM,Fantom,crypto,,,,,,,,,,
GRT,The Graph,crypto,,,,,,,,,,
LUNA,Terra,crypto,,,,,,,,,,
HT,Huobi Token,crypto,,,,,,,,,,
BTT,BitTorrent (New),crypto,,,,,,,,,,
RUNE,THORChain,crypto,,,,,,,,,,
BSV,Bitcoin SV,crypto,,,,,,,,,,
XEC,eCash,crypto,,,,,,,,,,
MIOTA,IOTA,crypto,,,,,,,,,,
HNT,Helium,crypto,,,,,,,,,,
USDP,Pax Dollar,crypto,,,,,,,,,,
CAKE,PancakeSwap,crypto,,,,,,,,,,
GMT,STEPN,crypto,,,,,,,,,,
QNT,Quant,crypto,,,,,,,,,,
USDN,Neutrino USD,crypto,,,,,,,,,,
NEO,Neo,crypto,,,,,,,,,,
LRC,Loopring,crypto,,,,,,,,,,
UST,TerraUSD,crypto,,,,,,,,,,
OKB,OKB,crypto,,,,,,,,,,
STX,Stacks,crypto,,,,,,,,,,
NEXO,Nexo,crypto,,,,,,,,,,
CHZ,Chiliz,crypto,,,,,,,,,,
KSM,Kusama,crypto,,,,,,,,,,
ZIL,Zilliqa,crypto,,,,,,,,,,
DASH,Dash,crypto,,,,,,,,,,
WAVES,Waves,crypto,,,,,,,,,,
CVX,Convex Finance,crypto,,,,,,,,,,
ENJ,Enjin Coin,crypto,,,,,,,,,,
PAXG,PAX Gold,crypto,,,,,,,,,,
CRV,Curve DAO Token,crypto,,,,,,,,,,
BAT,Basic Attention Token,crypto,,,,,,,,,,
ONE,Harmony,crypto,,,,,,,,,,
GALA,Gala,crypto,,,,,,,,,,
CELO,Celo,crypto,,,,,,,,,,
AMP,Amp,crypto,,,,,,,,,,
GNO,Gnosis,crypto,,,,,,,,,,
DCR,Decred,crypto,,,,,,,,,,
KAVA,Kava.io,crypto,,,,,,,,,,
MINA,Mina,crypto,,,,,,,,,,
XDC,XDC Network,crypto,,,,,,,,,,
XEM,NEM,crypto,,,,,,,,,,
AR,Arweave,crypto,,,,,,,,,,
COMP,Compound,crypto,,,,,,,,,,
USDD,USDD,crypto,,,,,,,,,,
KDA,Kadena,crypto,,,,,,,,,,
GT,GateToken,crypto,,,,,,,,,,
HOT,Holo,crypto,,,,,,,,,,
QTUM,Qtum,crypto,,,,,,,,,,
BTG,Bitcoin Gold,crypto,,,,,,,,,,
FEI,Fei USD,crypto,,,,,,,,,,
